Test Number	Result Number	CAS Number 	 Chemical Name	Chemical Grade	Chemical Analysis	Test Method	 Chemical Purity Mean Op 	 Chemical Purity Mean(%) 	 Chemical Purity Min Op 	 Chemical Purity Min(%) 	 Chemical Purity Max Op 	 Chemical Purity Max(%)	Species Scientific Name 	 Species Common Name	Species Kingdom 	 Species Phylum 	 Species Sub Phylum 	 Species Superclass 	 Species Class 	 Species Order 	 Species Family 	 Species Genus 	 Species 	 Variety	Species Group	Organism Lifestage	 Organism Age Mean Op 	 Organism Age Mean 	 Organism Age Min Op 	 Organism Age Min 	 Organism Age Max Op 	 Organism Age Max 	 Age Units	Organism Source	 Organism Initial Weight Mean Op 	 Organism Initial Weight Mean 	 Organism Initial Weight Min Op 	 Organism Initial Weight Min 	 Organism Initial Weight Max Op 	 Organism Initial Weight Max 	 Organism Initial Weight Units	Gender	Organism Comment	Exposure Type	Media Type 	 Test Location	Number of Doses	Conc 1 Type (Author) 	 Conc 1 Mean Op (Author) 	 Conc 1 Mean (Author) 	 Conc 1 Min Op (Author) 	 Conc Min 1 (Author) 	 Conc 1 Max Op (Author) 	 Conc 1 Max (Author) 	 Conc 1 Units (Author) 	 Conc 2 Type (Author) 	 Conc 2 Mean Op (Author) 	 Conc 2 Mean (Author) 	 Conc 2 Min Op (Author) 	 Conc Min 2 (Author) 	 Conc 2 Max Op (Author) 	 Conc 2 Max (Author) 	 Conc 2 Units (Author) 	 Conc 3 Type (Author) 	 Conc 3 Mean Op (Author) 	 Conc 3 Mean (Author) 	 Conc 3 Min Op (Author) 	 Conc Min 3 (Author) 	 Conc 3 Max Op (Author) 	 Conc 3 Max (Author) 	 Conc 3 Units (Author)	Conc 1 Type (Standardized) 	 Conc 1 Mean Op (Standardized) 	 Conc 1 Mean (Standardized) 	 Conc 1 Min Op (Standardized) 	 Conc Min 1 (Standardized) 	 Conc 1 Max Op (Standardized) 	 Conc 1 Max (Standardized) 	 Conc 1 Units (Standardized) 	 Conc 2 Type (Standardized) 	 Conc 2 Mean Op (Standardized) 	 Conc 2 Mean (Standardized) 	 Conc 2 Min Op (Standardized) 	 Conc Min 2 (Standardized) 	 Conc 2 Max Op (Standardized) 	 Conc 2 Max (Standardized) 	 Conc 2 Units (Standardized) 	 Conc 3 Type (Standardized) 	 Conc 3 Mean Op (Standardized) 	 Conc 3 Mean (Standardized) 	 Conc 3 Min Op (Standardized) 	 Conc Min 3 (Standardized) 	 Conc 3 Max Op (Standardized) 	 Conc 3 Max (Standardized) 	 Conc 3 Units (Standardized)	Effect 	 Effect Measurement	EE Comment	Endpoint 	 BCF 1 Value Op 	 BCF 1 Value 	 BCF 1 Min Op 	 BCF 1 Min 	 BCF 1 Max Op 	 BCF 1 Max 	 BCF 1 Unit 	 BCF 2 Value Op 	 BCF 2 Value 	 BCF 2 Min Op 	 BCF 2 Min 	 BCF 2 Max Op 	 BCF 2 Max 	 BCF 2 Unit 	 BCF 3 Value Op 	 BCF 3 Value 	 BCF 3 Min Op 	 BCF 3 Min 	 BCF 3 Max Op 	 BCF 3 Max 	 BCF 3 Unit	Response Site	 Effect Percent Mean Op 	 Effect Percent Mean 	 Effect Percent Min Op 	 Effect Percent Min 	 Effect Percent Max Op 	 Effect Percent Max	Ionic Fraction 1 	 Ionic Fraction 2 	 Ionic Fraction 3	Statistical Significance 	 Significance Level Mean Op 	 Significance Level Mean 	 Significance Level Min Op 	 Significance Level Min 	 Significance Level Max Op 	 Significance Level Max	Endpoint Assignment	 Observed Duration Mean Op (Days) 	 Observed Duration Mean (Days) 	 Observed Duration Min Op (Days) 	 Observed Duration Min (Days) 	 Observed Duration Max Op (Days) 	 Observed Duration Max (Days) 	 Observed Duration Units (Days)	 Observed Duration Mean Op (Author) 	 Observed Duration Mean (Author) 	 Observed Duration Min Op (Author) 	 Observed Duration Min (Author) 	 Observed Duration Max Op (Author) 	 Observed Duration Max (Author) 	 Observed Duration Units (Author)	Chemical Formulation	Chemical Radiolabel	Chemical Comment	Chemical Carrier	Species NCBI TaxID	Species ECOTOX Number	Habitat	 Study Duration Mean Op (Author) 	 Study Duration Mean (Author) 	 Study Duration Min Op (Author) 	 Study Duration Min (Author) 	 Study Duration Max Op (Author) 	 Study Duration Max (Author) 	 Study Duration Unit (Author)	 Study Duration Mean Op (Days) 	 Study Duration Mean (Days) 	 Study Duration Min Op (Days) 	 Study Duration Min (Days) 	 Study Duration Max Op (Days) 	 Study Duration Max (Days) 	 Study Duration Unit (Days)	 Application Frequency Mean Op 	 Application Frequency Mean 	 Application Frequency Min Op 	 Application Frequency Min 	 Application Frequency Max Op 	 Application Frequency Max 	 Application Frequency Unit	 Exposure Duration Mean Op (Author) 	 Exposure Duration Mean (Author) 	 Exposure Duration Min Op (Author) 	 Exposure Duration Min (Author) 	 Exposure Duration Max Op (Author) 	 Exposure Duration Max (Author) 	 Exposure Duration Units (Author)	 Exposure Duration Mean Op (Days) 	 Exposure Duration Mean (Days) 	 Exposure Duration Min Op (Days) 	 Exposure Duration Min (Days) 	 Exposure Duration Max Op (Days) 	 Exposure Duration Max (Days) 	 Exposure Duration Units (Days)	Control	Study Type	Test Type	Exposure Sample Number	Doses	Experimental Design	Sub-Habitat 	 Sub-Habitat Description	Sub-Habitat Comment	Geographic Term 	 Geographic Term Description	Geographic Location	Latitude 	 Longitude	Substrate Term (field only)	Substrate Comment (field only)	Application Type	Application Date	 Application Season 	 Application Season Description	Half-Life Mean Op 	 Half-Life Mean 	 Half-Life Min Op 	 Half-Life Min 	 Half-Life Max Op 	 Half-Life Max 	 Half-Life Unit	Application Rate 	 Application Rate Units	 Water Depth Mean Op 	 Water Depth Mean 	 Water Depth Min Op 	 Water Depth Min 	 Water Depth Max Op 	 Water Depth Max 	 Water Depth Units	Result Sample Number Mean Op 	 Result Sample Number Mean 	 Result Sample Number Min Op 	 Result Sample Number Min 	 Result Sample Number Max Op 	 Result Sample Number Max 	 Result Sample Unit	Trend 	 Species Final Weight Mean Op 	 Species Final Weight Mean 	 Species Final Weight Min Op 	 Species Final Weight Min 	 Species Final Weight Max Op 	 Species Final Weight Max 	 Species Final Weight Units	 Intake Rate Mean Op 	 Intake Rate Mean 	 Intake Rate Min Op 	 Intake Rate Min 	 Intake Rate Max Op 	 Intake Rate Max 	 Intake Rate Units	 Result Percent Lipid Mean Op 	 Result Percent Lipid Mean 	 Result Percent Lipid Min Op 	 Result Percent Lipid Min 	 Result Percent Lipid Max Op 	 Result Percent Lipid Max	 Dry/Wet 	 Result Percent Dry/Wet Weight Mean Op 	 Result Percent Dry/Wet Weight Mean 	 Result Percent Dry/Wet Weight Min Op 	 Result Percent Dry/Wet Weight Min 	 Result Percent Dry/Wet Weight Max Op 	 Result Percent Dry/Wet Weight Max	Steady State	Other Effects	Result Comment	 Temperature Mean Op 	 Temperature Mean 	 Temperature Min Op 	 Temperature Min 	 Temperature Max Op 	 Temperature Max 	 Temperature Units	 Hardness Mean Op 	 Hardness Mean 	 Hardness Min Op 	 Hardness Min 	 Hardness Max Op 	 Hardness Max 	 Hardness Units	 Alkalinity Mean Op 	 Alkalinity Mean 	 Alkalinity Min Op 	 Alkalinity Min 	 Alkalinity Max Op 	 Alkalinity Max 	 Alkalinity Units	 Dissolved Oxygen Mean Op 	 Dissolved Oxygen Mean 	 Dissolved Oxygen Min Op 	 Dissolved Oxygen Min 	 Dissolved Oxygen Max Op 	 Dissolved Oxygen Max 	 Dissolved Oxygen Units	 pH Mean Op 	 pH Mean 	 pH Min Op 	 pH Min 	 pH Max Op 	 pH Max	 Salinity Mean Op 	 Salinity Mean 	 Salinity Min Op 	 Salinity Min 	 Salinity Max Op 	 Salinity Max 	 Salinity Units	 Conductivity Mean Op 	 Conductivity Mean 	 Conductivity Min Op 	 Conductivity Min 	 Conductivity Max Op 	 Conductivity Max 	 Conductivity Units	Organic Carbon Type 	 Organic Carbon Mean Op 	 Organic Carbon Mean 	 Organic Carbon Min Op 	 Organic Carbon Min 	 Organic Carbon Max Op 	 Organic Carbon Max 	 Organic Carbon Units	 Humic Acid Mean Op 	 Humic Acid Mean 	 Humic Acid Min Op 	 Humic Acid Min 	 Humic Acid Max Op 	 Humic Acid Max 	 Humic Acid Units	 Sodium Mean Op 	 Sodium Mean 	 Sodium Min Op 	 Sodium Min 	 Sodium Max Op 	 Sodium Max 	 Sodium Units	 Chlorine Mean Op 	 Chlorine Mean 	 Chlorine Min Op 	 Chlorine Min 	 Chlorine Max Op 	 Chlorine Max 	 Chlorine Units	 Dissolved Inorganic Carbon Mean Op 	 Dissolved Inorganic Carbon Mean 	 Dissolved Inorganic Carbon Min Op 	 Dissolved Inorganic Carbon Min 	 Dissolved Inorganic Carbon Max Op 	 Dissolved Inorganic Carbon Max 	 Dissolved Inorganic Carbon Units	 Calcium Mean Op 	 Calcium Mean 	 Calcium Min Op 	 Calcium Min 	 Calcium Max Op 	 Calcium Max 	 Calcium Units	 Potassium Mean Op 	 Potassium Mean 	 Potassium Min Op 	 Potassium Min 	 Potassium Max Op 	 Potassium Max 	 Potassium Units	 Magnesium Mean Op 	 Magnesium Mean 	 Magnesium Min Op 	 Magnesium Min 	 Magnesium Max Op 	 Magnesium Max 	 Magnesium Units	 Sulfate Mean Op 	 Sulfate Mean 	 Sulfate Min Op 	 Sulfate Min 	 Sulfate Max Op 	 Sulfate Max 	 Sulfate Units	 Sulfur Mean Op 	 Sulfur Mean 	 Sulfur Min Op 	 Sulfur Min 	 Sulfur Max Op 	 Sulfur Max 	 Sulfur Units	General Comments	Author 	 Reference Number 	 Title 	 Source 	 Publication Year
2004051	2006514	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	American Society for Testing and Materials		NR		NR		NR	Lemna gibba	Inflated Duckweed	Plantae	Magnoliophyta			Liliopsida	Arales	Lemnaceae	Lemna	gibba		"Flowers, Trees, Shrubs, Ferns; Standard Test Species"	Not reported		4		NR		NR	Frond	Laboratory		NR		NR		NR	NR	Not reported	G-3	Renewal	Fresh water	Lab	6	Formulation		300		NR		NR	ug/L																	Formulation		0.3		NR		NR	AI mg/L																	Population	Chlorophyll B concentration		NOEC							--															Not reported		NR		NR		NR	NR			No significance	<=	0.05		NR		NR	ECOTOX		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Not reported	NR	"Sulfadimethoxine, SALT FORMULATIONS AS OBTAINED"		4470	1799	Water		7		NR		NR	Day(s)		7		NR		NR	Day(s)		NA		NA		NA	Daily; dosing regime not specified		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	2	0 ug/L / 10 ug/L / 30 ug/L / 100 ug/L / 300 ug/L / 1000 ug/L	"3 REPLICATES, HALF-STRENGTH HUNTER'S MEDIUM"																																NR		NR		NR	Not reported	Not reported		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	TOXICITY SYMPTOMS	 		25					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Brain,R.A., D.J. Johnson, S.M. Richards, H. Sanderson, P.K. Sibley, and K.R. Solomon"	73383	Effects of 25 Pharmaceutical Compounds to Lemna gibba Using a Seven-Day Static-Renewal Test	Environ. Toxicol. Chem.23(2): 371-382	2004
2004051	2006504	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	American Society for Testing and Materials		NR		NR		NR	Lemna gibba	Inflated Duckweed	Plantae	Magnoliophyta			Liliopsida	Arales	Lemnaceae	Lemna	gibba		"Flowers, Trees, Shrubs, Ferns; Standard Test Species"	Not reported		4		NR		NR	Frond	Laboratory		NR		NR		NR	NR	Not reported	G-3	Renewal	Fresh water	Lab	6	Formulation		100		NR		NR	ug/L																	Formulation		0.1		NR		NR	AI mg/L																	Reproduction	Progeny counts/numbers	MSMT/REPORTED AS FROND NUMBER//	NOEC							--															Not reported		NR		NR		NR	NR			No significance	<=	0.05		NR		NR	ECOTOX		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Not reported	NR	"Sulfadimethoxine, SALT FORMULATIONS AS OBTAINED"		4470	1799	Water		7		NR		NR	Day(s)		7		NR		NR	Day(s)		NA		NA		NA	Daily; dosing regime not specified		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	2	0 ug/L / 10 ug/L / 30 ug/L / 100 ug/L / 300 ug/L / 1000 ug/L	"3 REPLICATES, HALF-STRENGTH HUNTER'S MEDIUM"																																NR		NR		NR	Not reported	Not reported		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	TOXICITY SYMPTOMS	 		25					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Brain,R.A., D.J. Johnson, S.M. Richards, H. Sanderson, P.K. Sibley, and K.R. Solomon"	73383	Effects of 25 Pharmaceutical Compounds to Lemna gibba Using a Seven-Day Static-Renewal Test	Environ. Toxicol. Chem.23(2): 371-382	2004
2004051	2006496	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	American Society for Testing and Materials		NR		NR		NR	Lemna gibba	Inflated Duckweed	Plantae	Magnoliophyta			Liliopsida	Arales	Lemnaceae	Lemna	gibba		"Flowers, Trees, Shrubs, Ferns; Standard Test Species"	Not reported		4		NR		NR	Frond	Laboratory		NR		NR		NR	NR	Not reported	G-3	Renewal	Fresh water	Lab	6	Formulation		100		NR		NR	ug/L																	Formulation		0.1		NR		NR	AI mg/L																	Population	Biomass		NOEC							--															Not reported		NR		NR		NR	NR			No significance	<=	0.05		NR		NR	ECOTOX		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Not reported	NR	"Sulfadimethoxine, SALT FORMULATIONS AS OBTAINED"		4470	1799	Water		7		NR		NR	Day(s)		7		NR		NR	Day(s)		NA		NA		NA	Daily; dosing regime not specified		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	2	0 ug/L / 10 ug/L / 30 ug/L / 100 ug/L / 300 ug/L / 1000 ug/L	"3 REPLICATES, HALF-STRENGTH HUNTER'S MEDIUM"																																NR		NR		NR	Not reported	Not reported		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	Wet		NR		NR		NR	NR	TOXICITY SYMPTOMS	 		25					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Brain,R.A., D.J. Johnson, S.M. Richards, H. Sanderson, P.K. Sibley, and K.R. Solomon"	73383	Effects of 25 Pharmaceutical Compounds to Lemna gibba Using a Seven-Day Static-Renewal Test	Environ. Toxicol. Chem.23(2): 371-382	2004
2004051	2006507	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	American Society for Testing and Materials		NR		NR		NR	Lemna gibba	Inflated Duckweed	Plantae	Magnoliophyta			Liliopsida	Arales	Lemnaceae	Lemna	gibba		"Flowers, Trees, Shrubs, Ferns; Standard Test Species"	Not reported		4		NR		NR	Frond	Laboratory		NR		NR		NR	NR	Not reported	G-3	Renewal	Fresh water	Lab	6	Formulation		300		NR		NR	ug/L																	Formulation		0.3		NR		NR	AI mg/L																	Population	Chlorophyll A concentration		NOEC							--															Not reported		NR		NR		NR	NR			No significance	<=	0.05		NR		NR	ECOTOX		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Not reported	NR	"Sulfadimethoxine, SALT FORMULATIONS AS OBTAINED"		4470	1799	Water		7		NR		NR	Day(s)		7		NR		NR	Day(s)		NA		NA		NA	Daily; dosing regime not specified		7		NR		NR	Day(s)		7		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	2	0 ug/L / 10 ug/L / 30 ug/L / 100 ug/L / 300 ug/L / 1000 ug/L	"3 REPLICATES, HALF-STRENGTH HUNTER'S MEDIUM"																																NR		NR		NR	Not reported	Not reported		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	TOXICITY SYMPTOMS	 		25					C							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	   	"Brain,R.A., D.J. Johnson, S.M. Richards, H. Sanderson, P.K. Sibley, and K.R. Solomon"	73383	Effects of 25 Pharmaceutical Compounds to Lemna gibba Using a Seven-Day Static-Renewal Test	Environ. Toxicol. Chem.23(2): 371-382	2004
1182639	152301	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	Not reported		NR		NR		NR	Perkinsus marinus	Parasitic Protozoan	Protista	Myzozoa			Perkinsea	Perkinsida	Perkinsidae	Perkinsus	marinus		Invertebrates	Not reported		NR		NR		NR	Not reported	Wild		NR		NR		NR	NR	Not reported	NR	Static	Salt water	Lab	2	Active ingredient		100/		NR/		NR/	AI mg/L																	Active ingredient		100		NR		NR	AI mg/L																	Population	Abundance		LOEC							--															Not reported		NR		NR		NR	NR			Significant at all concentrations	<	0.05		NR		NR	ECOTOX		1		NR		NR	Day(s)		1		NR		NR	Day(s)	Not reported	NR	Sulfadimethoxine		31276	5660	Water		1		NR		NR	Day(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		1		NR		NR	Day(s)		1		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 AI mg/L / 100 AI mg/L	"3 REPLICATES, IN VITRO EXPERIMENT"																																NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"MIXTURE, POTENTIATED SULFADIMETHOXINE ALSO TESTED"	CONC1/ONLY CONC TESTED// 							NR							NR							NR							NR								23					0/00							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	SOURCE/NATURAL POPULATION FROM INFECTED OYSTER//  CONC1/ONLY CONC TESTED// 	"Calvo,G.W., and E.M. Burreson"	16047	"In Vitro and In Vivo Effects of Eight Chemotherapeutants on the Oyster Parasite Perkinsus marinus (Mackin, Owen, and Collier)"	J. Shellfish Res.13(1): 101-107	1994
1182630	125973	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	Not reported		NR		NR		NR	Perkinsus marinus	Parasitic Protozoan	Protista	Myzozoa			Perkinsea	Perkinsida	Perkinsidae	Perkinsus	marinus		Invertebrates	Not reported		NR		NR		NR	Not reported	Wild		NR		NR		NR	NR	Not reported	NR	Renewal	Salt water	Lab	3	Active ingredient		100		NR		NR	AI mg/L																	Active ingredient		100		NR		NR	AI mg/L																	Population	Abundance	MSMT/STATS TO B CONTROL//	NOEC							--															Not reported		NR		NR		NR	NR			Not significant at all concentrations	<	0.05		NR		NR	ECOTOX		15		NR		NR	Day(s)		15		NR		NR	Day(s)	Not reported	NR	Sulfadimethoxine		31276	5660	Water		15		NR		NR	Day(s)		15		NR		NR	Day(s)		NA		NR		NR	Every other day		15		NR		NR	Day(s)		15		NR		NR	Day(s)	Multiple types of controls were reported by the author	Not reported	Not reported	NR	0 AI mg/L / 10 AI mg/L / 100 AI mg/L	"2 REPLICATES, IN VIVO EXPERIMENT"																																NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"MIXTURE, POTENTIATED SULFADIMETHOXINE ALSO TESTED"	 		20*					C							NR							NR							NR								22*					0/00							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"SOURCE/NATURAL INFESTATION IN OYSTERS COLLECTED FROM POINT OF SHOALS IN JAMES RIVER//CONTR/B,C//   "	"Calvo,G.W., and E.M. Burreson"	16047	"In Vitro and In Vivo Effects of Eight Chemotherapeutants on the Oyster Parasite Perkinsus marinus (Mackin, Owen, and Collier)"	J. Shellfish Res.13(1): 101-107	1994
1182640	152302	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	Not reported		NR		NR		NR	Perkinsus marinus	Parasitic Protozoan	Protista	Myzozoa			Perkinsea	Perkinsida	Perkinsidae	Perkinsus	marinus		Invertebrates	Not reported		NR		NR		NR	Not reported	Wild		NR		NR		NR	NR	Not reported	NR	Static	Salt water	Lab	5	Active ingredient		10		NR		NR	AI mg/L																	Active ingredient		10		NR		NR	AI mg/L																	Population	Abundance		NOEC							--															Not reported		NR		NR		NR	NR			Not significant at all concentrations	>	0.05		NR		NR	ECOTOX		1		NR		NR	Day(s)		1		NR		NR	Day(s)	Not reported	NR	Sulfadimethoxine		31276	5660	Water		1		NR		NR	Day(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		1		NR		NR	Day(s)		1		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	NR	0 AI mg/L / 0.01 AI mg/L / 0.1 AI mg/L / 1 AI mg/L / 10 AI mg/L	"3 REPLICATES, IN VITRO EXPERIMENT 2"																																NR		NR		NR	Not reported	Increasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"MIXTURE, POTENTIATED SULFADIMETHOXINE ALSO TESTED"	 							NR							NR							NR							NR								23					0/00							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	SOURCE/NATURAL POPULATION FROM INFECTED OYSTER//   	"Calvo,G.W., and E.M. Burreson"	16047	"In Vitro and In Vivo Effects of Eight Chemotherapeutants on the Oyster Parasite Perkinsus marinus (Mackin, Owen, and Collier)"	J. Shellfish Res.13(1): 101-107	1994
1182629	125972	122112	"4-Amino-N-(2,6-dimethoxy-4-pyrimidinyl)benzenesulfonamide"	Not reported	Unmeasured	Not reported		NR		NR		NR	Bivalvia	Bivalve/Clam/Mussel Class	Animalia	Mollusca			Bivalvia						Molluscs; Standard Test Species	Not reported		NR		NR		NR	Not reported	Wild		32		NR		NR	g	Not reported	"70 MM, OYSTER"	Renewal	Salt water	Lab	5	Active ingredient		NR		0.01		10	AI mg/L																	Active ingredient		NR		0.01		10	AI mg/L																	Mortality	Mortality		NR							--															Not reported		NR		NR		NR	NR			Not reported		NR		NR		NR	Not reported		4		NR		NR	Day(s)		96		NR		NR	Hour(s)	Not reported	NR	Sulfadimethoxine		6544	1225	Water		96		NR		NR	Hour(s)		4		NR		NR	Day(s)		NA		NR		NR	Daily; dosing regime not specified		96		NR		NR	Hour(s)		4		NR		NR	Day(s)	Concurrent control	Not reported	Not reported	5	0 AI mg/L / 0.01 AI mg/L / 0.1 AI mg/L / 1 AI mg/L / 10 AI mg/L	2 REPLICATES																																NR		NR		NR	Not reported	Not reported		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	"MIXTURE, POTENTIATED SULFADIMETHOXINE ALSO TESTED"	 		25*					C							NR							NR							NR								17*					0/00							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"SOURCE/WYE RIVER, MARYLAND//   "	"Calvo,G.W., and E.M. Burreson"	16047	"In Vitro and In Vivo Effects of Eight Chemotherapeutants on the Oyster Parasite Perkinsus marinus (Mackin, Owen, and Collier)"	J. Shellfish Res.13(1): 101-107	1994
1261429	711775	129000	Pyrene	Not reported	Measured	Not coded		99		NR		NR	Chlorella fusca var. vacuolata	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	fusca	var. vacuolata	Algae	Not reported		NR		NR		NR	Not reported	Not reported		NC		NC		NC	NC	Not coded	"STRAIN 21115, 75000 CELLS PER ML"	Static	Fresh water	Lab	13	Active ingredient		0.24		0.202		0.284	umol/L																	Active ingredient		0.048541296		0.040855591		0.057440534	AI mg/L																	Population	Population growth rate	MSMT/WEIBULL MODEL//	EC50		NR		NR		NR	--															Not reported		NR		NR		NR	NR			Not applicable		NA		NA		NA	Author		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Pure	NR	PYRENE	"CAS #: 67685 , Chem Name: Sulfinyl bis(methane) , Chem Grade: NC , Chem Formulation: NC , Chem Radiolabel: NC , Chem Characteristics: DMSO , Chem Purity: NR , "		4594	Water		NC		NC		NC	Not coded		NR		NR		NR	Not coded		1		NR		NR	Dosed x time(s) per study period		NC		NC		NC	Not coded		NR		NR		NR	Not coded	Multiple types of controls were reported by the author	Not Coded	Not coded			FLUORESCENT LIGHTING WITH AN INTENSITY OF 22 TO 33KLUX.																																NC		NC		NC	Not coded	Decreasing		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		NC		NC		NC	NC		" DNUM/13//TESTID/4//CONTR/C,V//OEF/MIXTURE//"		28					C							NR							NR							NR		6.9											NR							NR	Not reported							NR							NC							NC							NC							NC							NC							NC							NC							NC							NC	"   DNUM/13//TESTID/4//CONTR/C,V//OEF/MIXTURE//"	"Altenburger,R., H. Walter, and M. Grote"	94907	What Contributes to the Combined Effect of a Complex Mixture?	Environ. Sci. Technol.38(23): 6353-6362	2004
2185020	2370385	129000	Pyrene	Not reported	Unmeasured	Not reported		NR		NR		NR	Chlorella fusca var. vacuolata	Green Algae	Plantae	Chlorophyta			Chlorophyceae	Chlorococcales	Oocystaceae	Chlorella	fusca	var. vacuolata	Algae	Not reported		NR		NR		NR	Not reported	Laboratory		NR		NR		NR	NR	Not reported	STRAIN 211	Static	Fresh water	Lab	NR	Formulation		0.2459		NR		NR	umol/L																	Formulation		0.049734603		NR		NR	AI mg/L																	Population	Abundance		EC50							--															Not reported		NR		NR		NR	NR			Not applicable		NA		NA		NA	Author		1		NR		NR	Day(s)		24		NR		NR	Hour(s)	Not reported	NR	NR	"CAS #: 67685 , Chem Name: Sulfinyl bis(methane) , Chem Grade: NR , Chem Formulation: NR , Chem Radiolabel: NR , Chem Characteristics: NR , Chem Purity: NR , "		4594	Water		24		NR		NR	Hour(s)		1		NR		NR	Day(s)		1		NR		NR	Dosed x time(s) per study period		24		NR		NR	Hour(s)		1		NR		NR	Day(s)	Carrier or solvent	Not reported	Not reported																																			NR		NR		NR	Not reported	Decreasing		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR		NR		NR		NR	NR	SEDIMENT CONCENTRATIONS REPORTED	 							NR							NR							NR							NR													NR							NR	Not reported							NR							NR							NR							NR							NR							NR							NR							NR							NR							NR	"SOURCE/CULTURE AT SAG, GOTTINGEN, GERMANY//   "	"Grote,M., W. Brack, H.A. Walter, and R. Altenburger"	120650	Confirmation of Cause-Effect Relationships Using Effect-Directed Analysis for Complex Environmental Samples	Environ. Toxicol. Chem.24(6): 1420-1427	2005
